Anlassnummer,Anlassbezeichnung
I.BA_IM_MM.16,I.IT-Konzepte & Modelle
I.BA_IND4.19,I.Industrie 4.0
I.BA_INFKOL.16,I.Computer Science Hot Topics
I.BA_INFR.16,I.Informatikrecht
I.BA_INFSC.19,I.Informations Security
I.BA_INFSEC+MAN.16,I.IT-Security Management
I.BA_INFSEC.16,I.Information Security
I.BA_INLP.21,I.Introduction to NLP
I.BA_INMA.18,I.Innovationsmanagement
I.BA_INMAC.19,I.International Management Accounting
I.BA_INTAC.19,I.International Financial Accounting
I.BA_INTAF.19,I.International Affairs Economics
I.BA_INTLA_E.18,I.International Law
I.BA_INTLA_K.18,I.International Law
I.BA_INTLA_MM.18,I.International Law
I.BA_INTOT.20,I.Internet of Things
I.BA_INTRO.17,I.Infotronik
I.BA_INTROL.19,I.Einführendes Labor Sicherheit
I.BA_IOPT.21,I.Industrial Optimization
I.BA_IOS.16,I.Programmieren fürs iOS
I.BA_IOT.18,I.Internet of Things
I.BA_IOTHACK_E.19,I.Blockchain & Security for IoT Hackathon (Blockwoche)
I.BA_IOTHACK_MM.19,I.Blockchain & Security for IoT Hackathon (Blockwoche)
I.BA_IOTHACK_Z.19,I.Blockchain & Security for IoT Hackathon (Blockwoche)
I.BA_IPCV.16,I.Image Processing & Computer Vision
I.BA_IPEUS.20,I.International Project Experience - Aufenthalt Silicon Valley
I.BA_IPREN1.21,I.Informatik Produktentwicklung 1
I.BA_IRFORENSIC.21,I.Angewandte Incident Response und IT Forensik
I.BA_IRSECPOL.20,"I.International Relations, Security and Policy"
I.BA_ISFBIT.18,I.International School for Business IT students (Intensive Week)
I.BA_ISFCS.16,I.International School for Computer Science Students (Intensive Week)
I.BA_ISF_E.20,I.Information Security Fundamentals
I.BA_ISF_K.20,I.Information Security Fundamentals
I.BA_ISF_MM.20,I.Information Security Fundamentals
I.BA_ISF_TUT.19,I.Tutorial ISF
I.BA_ISLAB_E.18,I.Informationssicherheitslabor
I.BA_ISLAB_K.18,I.Informationssicherheitslabor
I.BA_ISLAB_MM.18,I.Informationssicherheitslabor
I.BA_ISM.19,I.Information Security Management
I.BA_ISMA.19,I.IT Service Management
I.BA_ISM_E.20,I.Information Security Management
I.BA_ISM_K.20,I.Information Security Management
I.BA_ISM_MM.20,I.Information Security Management
I.BA_ISOA.19,I.Information Security: Organisatorische Aspekte
I.BA_ITAU.19,I.IT Audit
I.BA_ITEO.16,I.IT-System Engineering & Operation
I.BA_ITPMF.16,I.IT-Projektmanagement & Führung
I.BA_ITRE_E.20,I.IT-Recht
I.BA_ITRE_K.20,I.IT-Recht
I.BA_ITRE_MM.20,I.IT-Recht
I.BA_JSJ_ISA.19,I.ISA_Gesund bleiben mit Jin Shin Jyutsu
I.BA_KBDS.18,I.Knowledge based Decision Systems
I.BA_KNRE_E.21,I.Knowledge Representation
I.BA_KNRE_K.21,I.Knowledge Representation
I.BA_KNRE_MM.21,I.Knowledge Representation
I.BA_KOMA.17,I.Konfliktmanagement
I.BA_KRINF.21,I.Kritische Infrastruktur Sicherheit
I.BA_KRINFLAB.21,I.Kritische Infrastruktur Labor
I.BA_KRKO.21,I.Krisenmanagement & -kommunikation
I.BA_KRYPTO.19,I.Kryptologie & Anwendungen
I.BA_KRYPTOB.21,I.Krypto for Business
I.BA_KRYPTO_E.20,I.Kryptologie & Anwendungen
I.BA_KRYPTO_K.20,I.Kryptologie & Anwendungen
I.BA_KRYPTO_MM.20,I.Kryptologie & Anwendungen
I.BA_KUFA_E.17,I.Die Kunst der Finanzanlagen
I.BA_KUFA_MM.17,I.Die Kunst der Finanzanlagen
I.BA_KUFA_Z.17,I.Die Kunst der Finanzanlagen
I.BA_KWI_ISA.21,I.ISA_Kreatives Wissen in Innovationen
I.BA_LAEPRE.22,I.Legal Aspects for Entrepreneurs (Blockwoche)
I.BA_LIAL_E.20,I.Lineare Algebra
I.BA_LIAL_K.20,I.Lineare Algebra
I.BA_LIAL_MM.20,I.Lineare Algebra
I.BA_MA+PHY1_T_E.18,I.Mathematik & Physik Technik 1
I.BA_MA+PHY2_T_E.19,I.Mathematik & Physik Technik 2
I.BA_MAAC.19,I.Management Accounting
I.BA_MABU.20,I.Mobile Applications in the Business World
I.BA_MAGA.16,I.Management-Game (Blockwoche)
I.BA_MALWLAB.22,I.Malwareanalyse Labor
I.BA_MANSEC.17,I.Management Aspekte der Informationssicherheit
I.BA_MARI.17,I.Management & Recht im Informationszeitalter
I.BA_MAT1.17,I.Angewandte Mathematik 1 (Mathematik in der Wirtschaftsinformatik I)
I.BA_MAT2.18,I.Angewandte Mathematik 2
I.BA_MC_E.17,I.Mikrocontroller
I.BA_MED_PRG_DUMMY.17,I.Medizinproduktentwicklung Grundlagen
I.BA_MICRO.20,I.Microcontroller
I.BA_MLPW.21,"I.Machine Learning, Perzeption und Wissen"
I.BA_ML_E.17,I.Machine Learning
I.BA_ML_K.17,I.Machine Learning
I.BA_ML_MM.17,I.Machine Learning
I.BA_MMF.16,"I.Informatik für Musik, Medien & Film"
I.BA_MOBILSEC.21,I.Mobile Secuirty
I.BA_MOBLAB.18,I.Mobile Programming Lab
I.BA_MOBPRO.16,I.Mobile Programming
I.BA_MOBSYS.16,I.Mobile Systems
I.BA_MOD_E.20,I.Modellierung Grundlagen
I.BA_MOD_K.20,I.Modellierung Grundlagen
I.BA_MOD_MM.20,I.Modellierung Grundlagen
I.BA_MOVK_E.18,I.Moderne Verfahren der Kryptographie
I.BA_MOVK_K.18,I.Moderne Verfahren der Kryptographie
I.BA_MOVK_MM.18,I.Moderne Verfahren der Kryptographie
I.BA_MTOP.16,I.Mainframe Topics (Blockwoche)
I.BA_MWI1_E.20,I.Management für Wirtschaftsinformatik 1
I.BA_MWI1_K.20,I.Management für Wirtschaftsinformatik 1
I.BA_MWI1_MM.20,I.Management für Wirtschaftsinformatik 1
I.BA_MWI2.19,I.Management für Wirtschaftsinformatik 2
I.BA_NATCYSEC.19,I.Blockwoche National Cyber Security
I.BA_NETDA.19,I.Network Defense & Architecture
I.BA_NETT.19,I.Netzwerktechnologien
I.BA_NETW1.19,I.Networking & CCNA 1
I.BA_NETW1_E.20,I.Networking & CCNA 1
I.BA_NETW1_K.20,I.Networking & CCNA 1
I.BA_NETW1_MM.20,I.Networking & CCNA 1
I.BA_NETW2.19,I.Networking & CCNA 2
I.BA_NETW3.21,I.Networking und Kommunikation (CCNA Sem 3)
I.BA_NLP.22,I.Natural Language Processing
I.BA_NPE1.20,I.National Project Experience 1
I.BA_NPE1.21,I.National Project Experience 1
I.BA_NPE2.21,I.National Project Experience 2
I.BA_NPE2.22,I.National Project Experience 2
I.BA_NS.16,"I.Network, Clouds & Services"
I.BA_ONBU.18,I.Online Business Workshop (Blockwoche)
I.BA_OOP.16,I.Objektorientierte Programmierung
I.BA_OOP_E.21,I.Objektorientierte Programmierung
I.BA_OOP_K.21,I.Objektorientierte Programmierung
I.BA_OOP_MM.21,I.Objektorientierte Programmierung
I.BA_OSA.19,I.Operating System & Architecture
I.BA_OSSEC.20,I.Operating System Security
I.BA_PAWI.16,I.Informatikprojekt
I.BA_PCP_E.18,I.Programming Concepts & Paradigms
I.BA_PCP_K.18,I.Programming Concepts & Paradigms
I.BA_PCP_MM.18,I.Programming Concepts & Paradigms
I.BA_PEFU.18,I.Personal & Führung
I.BA_PHKI.20,"I.Philosophie, Kunst und künstliche Intelligenz"
I.BA_PIPE.20,I.Preparation for International Project Experience
I.BA_PLAB.16,I.Programmier-Labor
I.BA_PMB.16,I.Project Management Basics
I.BA_PMPCT.18,"I.Project Management, Professional Communication & Teamwork"
I.BA_PMRE.17,I.Projektmanagement & Requirements Engineering
I.BA_PRAXIS_3_F21.21,I.Praxismodul 3 ECTS
I.BA_PRAXIS_3_H21.21,I.Praxismodul 3 ECTS
I.BA_PRAXIS_6_F21.21,I.Praxismodul 6 ECTS
I.BA_PRAXIS_6_H21.21,I.Praxismodul 6 ECTS
I.BA_PRAXIS_VT.17,I.Praxis im Vollzeit-/Teilzeitstudium
I.BA_PRAXIS_VTZ.16,I.Praxis im Studium
I.BA_PRG.16,I.Programmierung
I.BA_PRG1.16,I.Programmieren & Algorithmen
I.BA_PRG2.16,I.Programmieren & Datenstrukturen
I.BA_PRIVACY1.19,I.Privatheit und Datenschutz 1
I.BA_PRIVACY1_E.20,I.Privatheit und Datenschutz 1
I.BA_PRIVACY1_K.20,I.Privatheit und Datenschutz 1
I.BA_PRIVACY1_MM.20,I.Privatheit und Datenschutz 1
I.BA_PROA.17,I.Process Automation
I.BA_PROFU.18,I.Programming Fundamentals
I.BA_PROG.20,I.Programming for Data Science
I.BA_PROTCO.20,I.Professional Technical Communication
I.BA_PTA.16,I.Projekt und Teamarbeit
I.BA_PTA.21,I.Projekt und Teamarbeit
I.BA_PTCO.19,I.Professional Technical Communication
I.BA_REUF.20,I.Recht in der Unternehmensführung
I.BA_REVE1.19,I.Reverse Engineering 1 (Blockwoche)
I.BA_REVE2.19,I.Reverse Engineering 2 (Blockwoche)
I.BA_RL_E.21,I.Reinforcement Learning
I.BA_RL_K.21,I.Reinforcement Learning
I.BA_RL_MM.21,I.Reinforcement Learning
I.BA_ROBLAB.17,I.Cognitive Robotics Lab
I.BA_ROBO.21,I.Robotics
I.BA_SAQT.16,"I.Software Architecture, Quality & Testing"
I.BA_SECPROJ.20,I.Special Project
I.BA_SEGA_ISA.19,I.ISA_Serious Games & Gamification
I.BA_SGC.19,I.Secure Governance and Compliance
I.BA_SGPOR.19,I.Secure Geschäftsprozesse und Organisation
I.BA_SIOT.20,I.Secure IOT
I.BA_SM.16,I.Social Media
I.BA_SOC.21,I.Security Operation Center Issues
I.BA_SOCIAL.16,I.Social Project
I.BA_SP1.16,I.Spanisch 1
I.BA_SPA_A1_SZ.19,I.SZ_Spanisch Grundkurs A1
I.BA_SPREN1.19,I.Sicherheit in der Produktentwicklung 1
